election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes
2012-11-06,WI,Adams,Adams | Town Of Adams,county_municipality,1,Town of Adams - Ward 1,,,ADAMS TOWN HALL,"1980 11TH AVE, FRIENDSHIP, WI  53934-9005",,ORR,2020-01-12,
2012-11-06,WI,Adams,Adams | Town Of Adams,county_municipality,2,Town of Adams - Ward 2,,,ADAMS TOWN HALL,"1980 11TH AVE, FRIENDSHIP, WI  53934-9005",,ORR,2020-01-12,
2012-11-06,WI,Adams,Adams | Town Of Adams,county_municipality,3,Town Of Adams - Ward 3,,,ADAMS TOWN HALL,"1980 11TH AVE, FRIENDSHIP, WI  53934-9005",,ORR,2020-01-12,
2012-11-06,WI,Adams,Adams | Town Of Big Flats,county_municipality,1,Town of Big Flats - Ward 1,,,TOWN OF BIG FLATS,"1104 COUNTY ROAD C, ARKDALE, WI  54613-9728",,ORR,2020-01-12,
2012-11-06,WI,Adams,Adams | Town Of Big Flats,county_municipality,2,Town Of Big Flats - Ward 2,,,TOWN OF BIG FLATS,"1104 COUNTY ROAD C, ARKDALE, WI  54613-9728",,ORR,2020-01-12,
2012-11-06,WI,Adams,Adams | Town Of Colburn,county_municipality,1,Town of Colburn - Ward 1,,,COLBURN TOWN HALL,"198 COUNTY ROAD C, HANCOCK, WI  54943",,ORR,2020-01-12,
2012-11-06,WI,Adams,Adams | Town Of Dell Prairie,county_municipality,1,Town of Dell Prairie - Ward 1,,,DELL PRAIRIE TOWN HALL,"763 COUNTY ROAD K, WISC DELLS, WI  53965-8981",,ORR,2020-01-12,
2012-11-06,WI,Adams,Adams | Town Of Dell Prairie,county_municipality,2,Town of Dell Prairie - Ward 2,,,DELL PRAIRIE TOWN HALL,"763 COUNTY ROAD K, WISC DELLS, WI  53965-8981",,ORR,2020-01-12,
2012-11-06,WI,Adams,Adams | Town Of Dell Prairie,county_municipality,3,Town Of Dell Prairie - Ward 3,,,DELL PRAIRIE TOWN HALL,"763 COUNTY ROAD K, WISC DELLS, WI  53965-8981",,ORR,2020-01-12,
2012-11-06,WI,Adams,Adams | Town Of Easton,county_municipality,1,Town of Easton - Ward 1,,,EASTON TOWN HALL,"1163 COUNTY ROAD A, ADAMS WI 53910",,ORR,2020-01-12,
2012-11-06,WI,Adams,Adams | Town Of Easton,county_municipality,2,Town of Easton - Ward 2,,,EASTON TOWN HALL,"1163 COUNTY ROAD A, ADAMS WI 53910",,ORR,2020-01-12,
2012-11-06,WI,Adams,Adams | Town Of Jackson,county_municipality,1,Town of Jackson - Ward 1,,,JACKSON TOWN HALL,"398 STATE ROAD 82, OXFORD WI 53952",,ORR,2020-01-12,
2012-11-06,WI,Adams,Adams | Town Of Jackson,county_municipality,2,Town Of Jackson - Ward 2,,,JACKSON TOWN HALL,"398 STATE ROAD 82, OXFORD WI 53952",,ORR,2020-01-12,
2012-11-06,WI,Adams,Adams | Town Of Leola,county_municipality,1,Town of Leola - Ward 1,,,PONDEROSA PINES,"287 STATE ROAD 73, BANCROFT, WI  54921-9537",,ORR,2020-01-12,
2012-11-06,WI,Adams,Adams | Town Of Lincoln,county_municipality,1,Town of Lincoln - Ward 1,,,LINCOLN TOWN HALL,"2181 COUNTY ROAD G, GRAND MARSH WI 53936",,ORR,2020-01-12,
2012-11-06,WI,Adams,Adams | Town Of Monroe,county_municipality,1,Town of Monroe - Ward 1,,,MONROE TOWN HALL,"981 COUNTY ROAD Z, ARKDALE, WI  54613-7701",,ORR,2020-01-12,
2012-11-06,WI,Adams,Adams | Town Of New Chester,county_municipality,1,Town of New Chester - Ward 1,,,NEW CHESTER TOWN HALL,"472 S EAGLE AVE, GRAND MARSH WI 53936-9704",,ORR,2020-01-12,
2012-11-06,WI,Adams,Adams | Town Of New Chester,county_municipality,2,Town of New Chester - Ward 2,,,NEW CHESTER TOWN HALL,"472 S EAGLE AVE, GRAND MARSH WI 53936-9704",,ORR,2020-01-12,
2012-11-06,WI,Adams,Adams | Town Of New Chester,county_municipality,3,Town Of New Chester - Ward 3,,,NEW CHESTER TOWN HALL,"472 S EAGLE AVE, GRAND MARSH WI 53936-9704",,ORR,2020-01-12,
2012-11-06,WI,Adams,Adams | Town Of New Haven,county_municipality,,Town of New Haven - Ward,,,NEW HAVEN TOWN HALL,"330 GOLDEN CT, WISCONSIN DELLS WI 53965",,ORR,2020-01-12,
2012-11-06,WI,Adams,Adams | Town Of Preston,county_municipality,1,Town of Preston - Ward 1,,,PRESTON TOWN HALL,"1801 11TH AVE, FRIENDSHIP WI 53934",,ORR,2020-01-12,
2012-11-06,WI,Adams,Adams | Town Of Preston,county_municipality,2,Town of Preston - Ward 2,,,PRESTON TOWN HALL,"1801 11TH AVE, FRIENDSHIP WI 53934",,ORR,2020-01-12,
2012-11-06,WI,Adams,Adams | Town Of Quincy,county_municipality,1,Town of Quincy - Ward 1,,,QUINCY TOWN HALL,"2599 COUNTY ROAD Z, FRIENDSHIP WI 53934-9617",,ORR,2020-01-12,
2012-11-06,WI,Adams,Adams | Town Of Quincy,county_municipality,2,Town of Quincy - Ward 2,,,QUINCY TOWN HALL,"2599 COUNTY ROAD Z, FRIENDSHIP WI 53934-9617",,ORR,2020-01-12,
2012-11-06,WI,Adams,Adams | Town Of Quincy,county_municipality,3,Town Of Quincy - Ward 3,,,QUINCY TOWN HALL,"2599 COUNTY ROAD Z, FRIENDSHIP WI 53934-9617",,ORR,2020-01-12,
2012-11-06,WI,Adams,Adams | Town Of Richfield,county_municipality,1,Town of Richfield - Ward 1,,,RICHFIELD TOWN HALL,"1602 COUNTY ROAD G, COLOMA WI 54930",,ORR,2020-01-12,
2012-11-06,WI,Adams,Adams | Town Of Rome,county_municipality,1,Town of Rome - Ward 1,,,ROME MUNICIPAL BUILDING,"1156 ALPINE DR, NEKOOSA WI 54457-8616",,ORR,2020-01-12,
2012-11-06,WI,Adams,Adams | Town Of Rome,county_municipality,2,Town of Rome - Ward 2,,,ROME MUNICIPAL BUILDING,"1156 ALPINE DR, NEKOOSA WI 54457-8616",,ORR,2020-01-12,
2012-11-06,WI,Adams,Adams | Town Of Rome,county_municipality,3,Town of Rome - Ward 3,,,ROME MUNICIPAL BUILDING,"1156 ALPINE DR, NEKOOSA WI 54457-8616",,ORR,2020-01-12,
2012-11-06,WI,Adams,Adams | Town Of Rome,county_municipality,4,Town of Rome - Ward 4,,,ROME MUNICIPAL BUILDING,"1156 ALPINE DR, NEKOOSA WI 54457-8616",,ORR,2020-01-12,
2012-11-06,WI,Adams,Adams | Town Of Rome,county_municipality,5,Town of Rome - Ward 5,,,ROME MUNICIPAL BUILDING,"1156 ALPINE DR, NEKOOSA WI 54457-8616",,ORR,2020-01-12,
2012-11-06,WI,Adams,Adams | Town Of Springville,county_municipality,1,Town of Springville - Ward 1,,,SPRINGVILLE TOWN HALL,"3243 STATE HIGHWAY 13, WISC DELLS, WI  53965-8925",,ORR,2020-01-12,
2012-11-06,WI,Adams,Adams | Town Of Springville,county_municipality,2,Town of Springville - Ward 2,,,SPRINGVILLE TOWN HALL,"3243 STATE HIGHWAY 13, WISC DELLS, WI  53965-8925",,ORR,2020-01-12,
2012-11-06,WI,Adams,Adams | Town Of Strongs Prairie,county_municipality,1,Town of Strongs Prairie - Ward 1,,,NEW TOWNHALL 2012,"1588 STATE HWY 21, ARKDALE, WI  54613",,ORR,2020-01-12,
2012-11-06,WI,Adams,Adams | Town Of Strongs Prairie,county_municipality,2,Town of Strongs Prairie - Ward 2,,,NEW TOWNHALL 2012,"1588 STATE HWY 21, ARKDALE, WI  54613",,ORR,2020-01-12,
2012-11-06,WI,Adams,Adams | Town Of Strongs Prairie,county_municipality,3,Town Of Strongs Prairie - Ward 3,,,NEW TOWNHALL 2012,"1588 STATE HWY 21, ARKDALE, WI  54613",,ORR,2020-01-12,
2012-11-06,WI,Adams,Adams | Village Of Friendship,county_municipality,1,Village of Friendship - Ward 1,,,FRIENDSHIP VILLAGE HALL,"507 W LAKE ST, FRIENDSHIP WI 53934-9301",,ORR,2020-01-12,
2012-11-06,WI,Adams,Adams | City Of Adams,county_municipality,1,City of Adams - Ward 1,,,ADAMS MUNICIPAL BUILDING,"101 N MAIN ST, ADAMS, WI  53910-9805",,ORR,2020-01-12,
2012-11-06,WI,Adams,Adams | City Of Adams,county_municipality,2,City of Adams - Ward 2,,,ADAMS MUNICIPAL BUILDING,"101 N MAIN ST, ADAMS, WI  53910-9805",,ORR,2020-01-12,
2012-11-06,WI,Adams,Adams | City Of Adams,county_municipality,3,City of Adams - Ward 3,,,ADAMS MUNICIPAL BUILDING,"101 N MAIN ST, ADAMS, WI  53910-9805",,ORR,2020-01-12,
