state,jurisdiction_type,precinct_name,name,municipality,address,notes
VT,town/city,Addison,Town Clerk's Office,Addison,,
VT,town/city,Albany,Town Clerk's Office,Albany,,
VT,town/city,Alburgh,Fire Station Hall,Alburgh,,
VT,town/city,Andover,Andover Town Hall,Andover,,
VT,town/city,Arlington,Arlington Memorial High School,Arlington,,
VT,town/city,Athens,Athens Town Office,Athens,,
VT,town/city,Bakersfield,Bakersfield Town Hall,Bakersfield,,
VT,town/city,Baltimore,Baltimore Town Office,Baltimore,,
VT,town/city,Barnard,Barnard Town Hall,Barnard,,
VT,town/city,Barnet,"Fire & Rescue Station, 151 Bimson Drive",Barnet,,
VT,town/city,Barre City,Barre Civic Center Auditorium,Barre City,,
VT,town/city,Barre Town,Barre Town Elementary & Middle School,Barre Town,,
VT,town/city,Barton,Lake Region Union High School,Barton,,
VT,town/city,Belvidere,Belvidere Town Clerk's office,Belvidere,,
VT,town/city,Bennington 2-1 & 2-2,Bennington Fire House,Bennington 2-1 & 2-2,,
VT,town/city,Bennington-North Bennington,North Bennington Trustee Office,Bennington-North Bennington,,
VT,town/city,Benson,Community Hall,Benson,,
VT,town/city,Berkshire Town,Berkshire Town Clerk's Office,Berkshire Town,,
VT,town/city,Berlin,Berlin Municipal Office Building,Berlin,,
VT,town/city,Bethel,Whitcomb High School ,Bethel,,
VT,town/city,Bloomfield,The Old Bloomfield School,Bloomfield,,
VT,town/city,Bolton,Smilie Memorial School,Bolton,,
VT,town/city,Bradford,Bradford Academy,Bradford,,
VT,town/city,Braintree,Braintree Town Hall,Braintree,,
VT,town/city,Brandon,Neshobe Elementary School,Brandon,,
VT,town/city,Brattleboro,Municipal Center (230 Main St.) ,Brattleboro,,
VT,town/city,Bridgewater,Town Office,Bridgewater,,
VT,town/city,Bridport,Community/Masonic Hall,Bridport,,
VT,town/city,Brighton,Brighton Town Hall Gym,Brighton,,
VT,town/city,Bristol,Holley Hall,Bristol,,
VT,town/city,Brookfield,Elementary School,Brookfield,,
VT,town/city,Brookline,Town Office,Brookline,,
VT,town/city,Brownington,Brownington Town Clerk's Office,Brownington,,
VT,town/city,Brunswick,Community Office Bldg.,Brunswick,,
VT,town/city,Burke,Town Community Building,Burke,,
VT,town/city,Burlington - Ward 1,Mater Christi School,Burlington - Ward 1,,
VT,town/city,Burlington - Ward 2,H.C. Wheeler School,Burlington - Ward 2,,
VT,town/city,Burlington - Ward 3,Lawrence Barnes School,Burlington - Ward 3,,
VT,town/city,Burlington - Ward 4,St. Mark's Youth Center,Burlington - Ward 4,,
VT,town/city,Burlington - Ward 5,Burlington Electric Department,Burlington - Ward 5,,
VT,town/city,Burlington - Ward 6,Edmunds Middle School,Burlington - Ward 6,,
VT,town/city,Burlington - Ward 7,Robert Miller Rec Center,Burlington - Ward 7,,
VT,town/city,Cabot,Willey Memorial Building,Cabot,,
VT,town/city,Calais,Calais Town Office,Calais,,
VT,town/city,Cambridge,Cambridge Memorial Gymnasium,Cambridge,,
