state,jurisdiction_type,county_name,precinct_name,name,address
NJ,county,,HAMBURG-09-02,HAMBURG FIRE DEPT MEETING ROOM  ,18 WALLKILL AVE   HAMBURG NJ 07419
NJ,county,,HAMBURG-09-01,MUNICIPAL BUILDING MEETING ROOM  ,16 WALLKILL AVE   HAMBURG NJ 07419
NJ,county,,SOUTH PLAINFIELD-00-04,ROOSEVELT SCHOOL  ,135 JACKSON AVE   SOUTH PLAINFIELD NJ 07080
NJ,county,,KEYPORT-00-02,CONSOLIDATED FIRE COMPANY TRUCK RM  ,34 FIRST ST   KEYPORT NJ 07735
NJ,county,,MAPLE SHADE TOWNSHIP-00-19,FOX MEADOW GOLF CENTER CAFE AREA ,2880 RTE 73   MAPLE SHADE TOWNSHIP NJ 08052
NJ,county,,TINTON FALLS-00-09,ST. ANSELM CHURCH  ,1028 WAYSIDE RD   TINTON FALLS NJ 07724
NJ,county,,ALLENTOWN-00-02,ALLENTOWN METHODIST CHURCH  ,23 CHURCH ST   ALLENTOWN NJ 08501
NJ,county,,NEWARK-12-10,ANN STREET SCHOOL (H)  (ENT. DOOR B)  ,30 ANN ST   NEWARK NJ 07105
NJ,county,,BYRAM-04-05,MUNICIPAL BUILDING  ,10 MANSFIELD DR   BYRAM NJ 07874
NJ,county,,WASHINGTON TOWNSHIP-00-08,SENIOR CITIZEN'S CENTER  FIRST FLOOR,35 EAST SPRINGTOWN RD   LONG VALLEY NJ 07853
NJ,county,,WALL-00-01,CENTRAL SCHOOL  ,2007 ALLENWOOD RD   WALL NJ 07719
NJ,county,,WALL-00-02,SOUTH WALL FIRE COMPANY BALLROOM  ,2605 ATLANTIC AVE   WALL NJ 08736
NJ,county,,WASHINGTON-00-02,WASHINGTON TWP BOARD OF EDUCATION  ,206 EAST HOLLY AVE   WASHINGTON NJ 08080
NJ,county,,LONG BRANCH-00-08,OPERATION LIFE BUILDING COMMUNITY RM  ,384 SECOND AVE   LONG BRANCH NJ 07740
NJ,county,,WALL-00-03,WEST BELMAR ELEMENTARY SCHOOL  ,925 SEVENTEENTH AVE   WALL NJ 07719
NJ,county,,EWING-00-12,PARKWAY SCHOOL  ,446 PARKWAY AVENUE   EWING NJ 08618
NJ,county,,HOWELL-00-21,SURREY DOWNS CLUBHOUSE  ,1 QUEEN ANNE BLVD   HOWELL NJ 07731
NJ,county,,OCEAN-00-07,THE ENGLISH MANOR  ,1 ENGLISH LN   OCEAN NJ 07712
NJ,county,,HANOVER TOWNSHIP-00-03,MOUNTVIEW ROAD SCHOOL  GYM,30 MOUNTVIEW RD   HANOVER TOWNSHIP NJ 07927
NJ,county,,SEA GIRT-00-01,FIRE HEADQUARTERS FIRE BAY  ,407 FOURTH AVE   SEA GIRT NJ 08750
NJ,county,,SPRING LAKE HTS-00-04,MUNICIPAL BUILDING MEETING ROOM  ,555 BRIGHTON AVE   SPRING LAKE HEIGHTS NJ 07762
NJ,county,,SUMMIT-02-11,ST. JOHN'S LUTHERAN CHURCH  ,587 SPRINGFIELD AVE   SUMMIT NJ 07901
NJ,county,,LONG BRANCH-00-02,WEST END FIRE HOUSE  ,595 SECOND AVE   LONG BRANCH NJ 07740
NJ,county,,UNION-00-12,LIVINGSTON SCHOOL  ,960 MIDLAND BLVD   UNION NJ 07083
NJ,county,,LONG BRANCH-00-03,WEST END FIRE HOUSE  ,595 SECOND AVE   LONG BRANCH NJ 07740
NJ,county,,WEST CALDWELL-00-02,WASHINGTON SCHOOL (H)  ,201 CENTRAL AVE   WEST CALDWELL NJ 07006
NJ,county,,WALL-00-15,GLENDOLA FIRE HOUSE 2NDFLOOR  ELEVATOR AVAILABLE,3404 BELMAR BLVD   WALL NJ 07719
NJ,county,,TINTON FALLS-00-12,SEABROOK VILLAGE TOWN SQUARE  ,3000 ESSEX RD   TINTON FALLS NJ 07753
NJ,county,,GREEN-08-04,GREEN TWP FIREHOUSE  ,245 KENNEDY RD   GREEN NJ 07879
NJ,county,,MILLSTONE-00-07,MILLSTONE TOWNSHIP COMMUNITY CENTER FIRST FLOOR  ,463 STAGECOACH RD   CLARKSBURG NJ 08510
NJ,county,,KEYPORT-00-01,EAGLE HOSE FIRE HOUSE FIRST FLOOR AREA  ,95 BROADWAY   KEYPORT NJ 07735
NJ,county,,KEYPORT-00-06,LIBERTY HOSE FIRE COMPANY  ,1893 HWY 36   KEYPORT NJ 07735
NJ,county,,SOUTH PLAINFIELD-00-02,AMERICAN LEGION BUILDING  ,243 OAK TREE AVE   SOUTH PLAINFIELD NJ 07080
NJ,county,,KEYPORT-00-05,CONSOLIDATED FIRE COMPANY TRUCK RM  ,34 FIRST ST   KEYPORT NJ 07735
NJ,county,,KEYPORT-00-04,KEYPORT FIRST AID BUILDING MAIN HALL  ,1927 ATLANTIC ST   KEYPORT NJ 07735
NJ,county,,WOOLWICH-00-03,KINGSWAY REGIONAL HIGH SCHOOL  ,213 KINGS HW   WOOLWICH TWP NJ 08085
NJ,county,,HOLMDEL-00-07,WM. R. SATZ SCHOOL GYM  ,24 CRAWFORDS CORNER RD   HOLMDEL NJ 07733
NJ,county,,WALL-00-14,MONMOUTH COUNTY LIBRARY WALL TOWNSHIP BRANCH  MEETING ROOM,2700 ALLAIRE RD   WALL NJ 07719
NJ,county,,GREEN-08-03,GREEN TWP FIREHOUSE  ,245 KENNEDY RD   GREEN NJ 07879
NJ,county,,TINTON FALLS-00-07,TINTON FALLS EMS BUILDING  ,1 VOLUNTEER WAY   TINTON FALLS NJ 07724
NJ,county,,TINTON FALLS-00-04,MUNICIPAL CENTER COURT ROOM  ,556 TINTON AVE   TINTON FALLS NJ 07724
NJ,county,,BERKELEY HTS-00-08,RUNNELLS SPECIALIZED HOSPITAL OF UC  ,40 WATCHUNG WAY   BERKELEY HTS NJ 07922
NJ,county,,CLIFTON-03-07,SCHOOL #11  ,147 MERSELIS AVE   CLIFTON NJ 07011
NJ,county,,TINTON FALLS-00-02,TINTON FALLS EMS BUILDING  ,1 VOLUNTEER WAY   TINTON FALLS NJ 07724
NJ,county,,MILLVILLE-01-02,GLASSTOWN RESIDENCE  224 S SECOND ST,224 S SECOND ST   MILLVILLE NJ 08332
NJ,county,,TINTON FALLS-00-01,TINTON FALLS FIRE HOUSE MEETING ROOM  ,695 TINTON AVE   TINTON FALLS NJ 07724
NJ,county,,HAMILTON-00-42,NOTTINGHAM FIRE COMPANY  ,200 MERCER ST   HAMILTON NJ 08690
NJ,county,,WALL-00-17,ALLENWOOD SCHOOL GYM  ,3301 ALLENWOOD LAKEWOOD RD   WALL NJ 08720
NJ,county,,ALLENTOWN-00-01,ALLENTOWN HIGH SCHOOL MAIN LOBBY  ,27 HIGH ST   ALLENTOWN NJ 08501
NJ,county,,GREEN-08-02,MUNICIPAL BUILDING  ,150 KENNEDY RD   GREEN NJ 07879
NJ,county,,WALL-00-16,SOUTH WALL FIRE COMPANY BALLROOM  ,2605 ATLANTIC AVE   WALL NJ 08736
NJ,county,,MIDDLETOWN-00-39,NUTSWAMP SCHOOL ALL PURPOSE ROOM  ,925 NUTSWAMP RD   MIDDLETOWN NJ 07748
NJ,county,,SOUTH BRUNSWICK-00-20,MONMOUTH JUNCTION FIRE HOUSE  ,573 RIDGE RD   SOUTH BRUNSWICK NJ 08852
NJ,county,,FREEHOLD BOROUGH-00-07,THE BROOKSIDE  ,93 MANALAPAN AVE   FREEHOLD BOROUGH NJ 07728
NJ,county,,FREEHOLD BOROUGH-00-03,THE BROOKSIDE  ,93 MANALAPAN AVE   FREEHOLD BOROUGH NJ 07728
NJ,county,,LONG BRANCH-00-15,LENNA W. CONROW SCHOOL  ,335 LONG BRANCH AVE   LONG BRANCH NJ 07740
NJ,county,,WALL-00-11,WALL COMMUNITY FIRST AID  ,1417 LAKEWOOD RD   WALL NJ 08736
NJ,county,,MOUNT OLIVE TOWNSHIP-00-16,MOUNT OLIVE SENIOR CITIZEN'S BUILDING  MAIN  MEETING ROOM,204 FLANDERS DRAKESTOWN   MOUNT OLIVE TOWNSHIP NJ 07828
NJ,county,,LONG BRANCH-00-14,AMERIGO A. ANASTASIA SCHOOL  ,92 SEVENTH AVE   LONG BRANCH NJ 07740
NJ,county,,WALL-00-10,OLD MILL  SCHOOL GYM  ,2709 OLD MILL ROAD   WALL NJ 08750
NJ,county,,SOUTH BRUNSWICK-00-19,MONMOUTH JUNCTION FIRE HOUSE  ,573 RIDGE RD   SOUTH BRUNSWICK NJ 08852
NJ,county,,ATLANTIC HIGHLANDS-00-04,SENIOR BUILDING  ,1 SIMON LAKE DR   ATLANTIC HIGHLANDS NJ 07716
NJ,county,,FREEHOLD BOROUGH-00-01,FREEHOLD BOROUGH FIRE HOUSE RECREATION RM  ,49 W MAIN ST   FREEHOLD NJ 07728
NJ,county,,WOOLWICH-00-04,WOOLWICH TWP MUNICIPAL BUILDING  ,120 VILLAGE GREEN DR   WOOLWICH NJ 08085
NJ,county,,CLIFTON-01-22,SCHOOL #14  ,99 ST ANDREWS BLVD   CLIFTON NJ 07012
NJ,county,,ATLANTIC HIGHLANDS-00-03,FIREMAN'S FIELDHOUSE  ,46 AVENUE C   ATLANTIC HIGHLANDS NJ 07716
NJ,county,,LONG BRANCH-00-17,LENNA W. CONROW SCHOOL  ,335 LONG BRANCH AVE   LONG BRANCH NJ 07740
NJ,county,,BYRAM-04-01,CRANBERRY LAKE FIREHOUSE  ,225 US HIGHWAY 206   BYRAM NJ 07821
NJ,county,,LONG BRANCH-00-16,OLIVER BYRON ENGINE COMPANY  ,46 ATLANTIC AVE   LONG BRANCH NJ 07740
NJ,county,,SEA GIRT-00-02,FIRE HEADQUARTERS FIRE BAY  ,407 FOURTH AVE   SEA GIRT NJ 08750
NJ,county,,SOUTH BRUNSWICK-00-18,KENDALL PARK FIRST AID FIRE  ,95 HENDERSON RD   SOUTH BRUNSWICK NJ 08824
NJ,county,,MONROE-02-13,OPEN BIBLE BAPTIST CHURCH  ,1073 NEW BROOKLYN RD   WILLIAMSTOWN NJ 08094
NJ,county,,LONG BRANCH-00-11,LONG BRANCH SENIOR CENTER  ,85 SECOND AVE   LONG BRANCH NJ 07740
NJ,county,,UNION-00-14,FRANKLIN SCHOOL  ,1500 LINDY TER   UNION NJ 07083
NJ,county,,LONG BRANCH-00-10,NEPTUNE FIRE HOUSE  ,30 BRANCHPORT AVE   LONG BRANCH NJ 07740
NJ,county,,EAST BRUNSWICK-00-26,CHITTICK SCHOOL  ,5 FLAGLER ST   EAST BRUNSWICK NJ 08816
NJ,county,,BRICK-00-55,VFW POST NO 8867  ,373 ADAMSTON RD   BRICK NJ 08723
NJ,county,,ATLANTIC HIGHLANDS-00-02,FIREMAN'S FIELDHOUSE  ,46 AVENUE C   ATLANTIC HIGHLANDS NJ 07716
NJ,county,,MOUNT OLIVE TOWNSHIP-00-20,SAND SHORE ROAD SCHOOL  FRONT GYM,498 SAND SHORE RD   MOUNT OLIVE TOWNSHIP NJ 07828
NJ,county,,ANDOVER TOWNSHIP-02-06,ANDOVER TWP MUNICIPAL BUILDING  ,134 NEWTON SPARTA RD   ANDOVER TOWNSHIP NJ 07860
NJ,county,,VOORHEES-00-18,THE VISTA'S CLUBHOUSE  ,225 ECHELON RD   VOORHEES NJ 08043
NJ,county,,LONG BRANCH-00-12,LONG BRANCH LIBRARY  ,328 BROADWAY   LONG BRANCH NJ 07740
NJ,county,,WEST LONG BRANCH-00-05,WEST LONG BRANCH COMMUNITY CENTER DOWNSTAIRS  ,116 LOCUST AVE   WEST LONG BRANCH NJ 07764
NJ,county,,GARWOOD-00-03,GARWOOD PUBLIC LIBRARY  ,411 THIRD AVE   GARWOOD NJ 07027
NJ,county,,WEST LONG BRANCH-00-04,WEST LONG BRANCH COMMUNITY CENTER UPSTAIRS  ,116 LOCUST AVENUE   WEST LONG BRANCH NJ 07764
NJ,county,,WEST LONG BRANCH-00-06,OLD FIRST UNITED METHODIST CHURCH EDUCATION BLDG  ,197 LOCUST AVE   WEST LONG BRANCH NJ 07764
NJ,county,,EWING-00-02,EWING SENIOR   COMMUNITY CTR  ,999 LOWER FERRY RD   EWING NJ 08628
NJ,county,,FREEHOLD TWP-00-25,FREEHOLD TOWNSHIP ADMINISTRATION BLDG MEETING RM  ,1 MUNICIPAL PLZ   FREEHOLD NJ 07728
NJ,county,,WEST LONG BRANCH-00-03,WEST LONG BRANCH COMMUNITY CENTER UPSTAIRS  ,116 LOCUST AVENUE   WEST LONG BRANCH NJ 07764
NJ,county,,GREEN-08-01,MUNICIPAL BUILDING  ,150 KENNEDY RD   GREEN NJ 07879
NJ,county,,LONG BRANCH-00-09,MORRIS AVE ELEMENTARY  ,318 MORRIS AVE   LONG BRANCH NJ 07740
NJ,county,,PATERSON-01-11,SCHOOL #2  ,22 PASSAIC ST   PATERSON NJ 07501
NJ,county,,LONG BRANCH-00-04,ELBERON FIRE HOUSE  ,173 LINCOLN AVE   LONG BRANCH NJ 07740
NJ,county,,FANWOOD-00-02,BOROUGH HALL  ,75 N MARTINE AVE   FANWOOD NJ 07023
NJ,county,,VINELAND-01-03,MARIE D. DURAND SCHOOL  ,371 W FOREST GROVE RD   VINELAND NJ 08360
NJ,county,,ALLENHURST-00-01,ALLENHURST BOROUGH HALL  ,125 CORLIES AVE   ALLENHURST NJ 07711
NJ,county,,LONG BRANCH-00-05,OPERATION LIFE BUILDING COMMUNITY RM  ,384 SECOND AVE   LONG BRANCH NJ 07740
NJ,county,,VERONA-00-10,LANING AVENUE SCHOOL (H)  ,18 LANNING AVE   VERONA NJ 07044
NJ,county,,LONG BRANCH-00-06,LONG BRANCH SENIOR H. S. GYM LOBBY  ,404 INDIANA AVE   LONG BRANCH NJ 07740
NJ,county,,WAYNE-06-07,SCHUYLER COLFAX JR HS  ,1500 HAMBURG TPKE   WAYNE NJ 07470
NJ,county,,LONG BRANCH-00-07,OCEANIC FIRE HOUSE  ,29 NORWOOD AVE   LONG BRANCH NJ 07740
NJ,county,,BYRAM-04-03,C O JOHNSON FIELDHOUSE  ,130 ROSEVILLE RD   BYRAM NJ 07821
NJ,county,,MENDHAM TOWNSHIP-00-02,NEW RALSTON FIRE HOUSE  AMBULANCE BAY,322 MENDHAM RD W   MENDHAM TOWNSHIP NJ 07945
NJ,county,,LONG BRANCH-00-01,ELBERON FIRE HOUSE  ,173 LINCOLN AVE   LONG BRANCH NJ 07740
NJ,county,,SUMMIT-02-04,SUMMIT MIDDLE SCHOOL  ,272 MORRIS AVE   SUMMIT NJ 07901
NJ,county,,CHESTER TOWNSHIP-00-05,HIGHLANDS RIDGE BARN  ,100 NORTH RD   CHESTER NJ 07930
NJ,county,,EAST BRUNSWICK-00-07,CENTRAL SCHOOL  ,371 CRANBURY RD   EAST BRUNSWICK NJ 08816
NJ,county,,PEMBERTON TOWNSHIP-00-14,MESSIAH LUTHERAN BRETHREN CHURCH FELLOWSHIP HALL ,530 VIRGINIA DR   BROWNS MILLS NJ 08015
NJ,county,,PLAINFIELD-02-04,MAXSON MIDDLE SCHOOL  ,920 E SEVENTH ST   PLAINFIELD NJ 07060
NJ,county,,LAWRENCE-00-13,LAWRENCE SENIOR CENTER  ,30 E DARRAH LN   LAWRENCE NJ 08648
NJ,county,,ANDOVER TOWNSHIP-02-02,HILLSIDE PARK BARN  ,150 LAKE ILIFF RD   ANDOVER TOWNSHIP NJ 07860
NJ,county,,LAWRENCE-00-12,LAWRENCE SENIOR CENTER  ,30 E DARRAH LN   LAWRENCE NJ 08648
NJ,county,,LAWRENCE-00-07,LAWRENCEVILLE FIRE COMPANY APPARATUS ROOM ,64 PHILLIPS AVENUE   LAWRENCE NJ 08648
NJ,county,,SOUTH BRUNSWICK-00-15,SENIOR CENTER  ,540 RIDGE RD   SOUTH BRUNSWICK NJ 08852
NJ,county,,BURLINGTON TOWNSHIP-00-07,MIDDLE SCHOOL AT SPRINGSIDE GYM ,1600 BURLINGTON BYP   BURLINGTON TOWNSHIP NJ 08016
NJ,county,,WOODBRIDGE-03-04,PORT READING SCHOOL #9  USE DOOR #3,77 TURNER ST   WOODBRIDGE NJ 07064
NJ,county,,MEDFORD TOWNSHIP-00-06,PUBLIC SAFETY BUILDING COURT ROOM ,91 UNION ST   MEDFORD TOWNSHIP NJ 08055
NJ,county,,WOODBURY-03-03,HOPE FELLOWSHIP CHURCH  ,246 KING ST   WOODBURY NJ 08096
NJ,county,,JACKSON-00-32,JACKSON MILLS FIRE CO. MAIN BANQUET ROOM ,465 N COUNTY LINE RD   JACKSON NJ 08527
NJ,county,,WANAQUE-00-06,HASKELL ELEMENTARY SCHOOL  ,973 RINGWOOD AVE   WANAQUE NJ 07420
NJ,county,,WILLINGBORO TOWNSHIP-00-14,LEVITT JUNIOR HIGH SCHOOL CAFETERIA ,50 REV DR M L KING JR DR   WILLINGBORO TOWNSHIP NJ 08046
NJ,county,,WILLINGBORO TOWNSHIP-00-01,STUART SCHOOL ALL PURPOSE ROOM ,70 S SUNSET RD   WILLINGBORO TOWNSHIP NJ 08046
