"PVD ","NAME ","ADDRESS ","CITY ","ZIP ",
"01-14 ","LEWES FIRE HALL ","347 SAVANNAH RD ","LEWES ","19958 ",
"02-14 ","CAPE HENLOPEN HIGH SCHOOL ","1250 KINGS HWY ","LEWES ","19958 ",
"03-14 ","REHOBOTH FIRE HALL ","219 REHOBOTH AVE ","REHOBOTH ","19971 ",
"04-14 ","BEACON MIDDLE SCHOOL ","19483 JOHN J. WILLIAMS HWY ","LEWES ","19958 ",
"05-14 ","LEWES-REHOBOTH FIRE STA. NO.3 ","21194 JOHN J. WILLIAMS HWY ","LEWES ","19958 ",
"06-14 ","REHOBOTH FIRE CO. STA. NO. 2 ","36027 AIRPORT RD ","REHOBOTH ","19971 ",
"07-14 ","REHOBOTH ELEMENTARY SCHOOL ","500 STOCKLEY ST ","REHOBOTH ","19971 ",
"01-20 ","MILTON ELEMENTARY SCHOOL ","512 FEDERAL ST ","MILTON ","19968 ",
"02-20 ","MARINER MIDDLE SCHOOL ","16391 HARBESON RD ","MILTON ","19968 ",
"03-20 ","H.O. BRITTINGHAM SCHOOL ","400 MULBERRY ST ","MILTON ","19968 ",
"04-20 ","COOL SPRING PRES CHURCH HALL ","28842 LOG CABIN HILL RD ","LEWES ","19958 ",
"05-20 ","SHIELDS ELEMENTARY SCHOOL ","910 SHIELDS AVE ","LEWES ","19958 ",
"06-20 ","CAPE HENLOPEN HIGH SCHOOL ","1250 KINGS HWY ","LEWES ","19958 ",
"07-20 ","LEWES SCHOOL ","820 SAVANNAH RD ","LEWES ","19958 ",
"08-20 ","HARBESON CHURCH HALL ","18636 HARBESON RD ","HARBESON ","19951 ",
"09-20 ","MILTON FIRE HALL ","116 FRONT ST ","MILTON ","19968 ",
"10-20 ","BEACON MIDDLE SCHOOL ","19483 JOHN J. WILLIAMS HWY ","LEWES ","19958 ",
"01-35 ","GREENWOOD FIRE HALL ","12611 SUSSEX HWY ","GREENWOOD ","19950 ",
"02-35 ","BRIDGEVILLE FIRE HALL ","315 MARKET ST ","BRIDGEVILLE ","19933 ",
"03-35 ","WOODBRIDGE MIDDLE SCHOOL ","307 S LAWS ST ","BRIDGEVILLE ","19933 ",
"04-35 ","DEL TECH CARTER PARTNER CENTER ","21179 COLLEGE DR ","GEORGETOWN ","19947 ",
"05-35 ","SUSSEX TECH HIGH SCHOOL ","17099 COUNTY SEAT HWY ","GEORGETOWN ","19947 ",
"06-35 ","REDDEN COMMUNITY HALL ","18192 REDDEN RD ","GEORGETOWN ","19947 ",
"07-35 ","ELLENDALE FIRE HALL ","302 MAIN ST ","ELLENDALE ","19941 ",
"01-36 ","LULU ROSS ELEMENTARY SCHOOL ","310 LOVERS LN ","MILFORD ","19963 ",
"02-36 ","MISPILLION ELEMENTARY SCHOOL ","311 LOVERS LN ","MILFORD ","19963 ",
"03-36 ","LULU ROSS ELEMENTARY SCHOOL ","310 LOVERS LN ","MILFORD ","19963 ",
"04-36 ","MORRIS EARLY LEARNING CENTER ","8609 THIRD ST ","LINCOLN ","19960 ",
"05-36 ","MEMORIAL VOL FIRE CO ","8009 SLAUGHTER BEACH RD ","MILFORD ","19963 ",
"06-36 ","ELLENDALE FIRE HALL ","302 MAIN ST ","ELLENDALE ","19941 ",
"07-36 ","SLAUGHTERNECK EDUCATIONAL & COMMUNITY CENTER ","22942 SLAUGHTER NECK RD ","LINCOLN ","19960 ",
