state,jurisdiction_type,county_name,precinct_id,name,address
MD,county,Allegany,001-000-1,Orleans Volunteer Fire Department,"12210 Orleans Road, NE, Little Orleans, MD 21766"
MD,county,Allegany,002-000-1,Oldtown Volunteer Fire Department,"18712 Oldtown Road, SE, Oldtown, MD 21555"
MD,county,Allegany,003-000-1,Flintstone Elementary  School,"22000 National Pike, NE, Flintstone, MD 21530"
MD,county,Allegany,004-002-2,Living Stone Church of Brethren,"114 N. Cedar Street, Cumberland, MD 21502"
MD,county,Allegany,004-003-2,South Penn Elementary  School,"500 E. Second Street, Cumberland, MD 21502"
MD,county,Allegany,004-004-1,Ft. Hill High School,"500 Greenway Avenue, Cumberland, MD 21502"
MD,county,Allegany,004-004-2,Ft. Hill High School,"500 Greenway Avenue, Cumberland, MD 21502"
MD,county,Allegany,004-005-2,Emmanuel Bethel United Methodist Church,"24 Humbird Street, Cumberland, MD 21502"
MD,county,Allegany,004-008-2,Salvation Army Community Center,"200 Somerville Avenue, Cumberland, MD 21502"
MD,county,Allegany,005-004-1,Braddock Middle School,"909 Holland Street, Cumberland, MD 21502"
MD,county,Allegany,005-004-2,Braddock Middle School,"909 Holland Street, Cumberland, MD 21502"
MD,county,Allegany,005-006-1,Bowman's Addition Fire Hall,"11710 Boardwalk Avenue, NE, Cumberland, MD 21502"
MD,county,Allegany,006-001-2,Emmanuel Episcopal Parish Hall,"16 Washington Street, Cumberland, MD 21502"
MD,county,Allegany,006-003-2,West Side Elementary School,"425 Paca Street, Cumberland, MD 21502"
MD,county,Allegany,006-005-1,Bishop Walsh School,"700 Bishop Walsh Road, Cumberland, MD 21502"
MD,county,Allegany,006-005-2,Bishop Walsh School,"700 Bishop Walsh Road, Cumberland, MD 21502"
MD,county,Allegany,006-006-1,Allegany County Multi-Purpose Building,"11490 Moss Avenue, SW, Cumberland, MD 21502"
MD,county,Allegany,007-001-1,Cresaptown Elementary School,"13202 Sixth Avenue, SW, Cresaptown, MD 21502"
MD,county,Allegany,007-002-1,Bel Air Elementary School,"14401 Barton Boulevard, SW, Cumberland, MD 21502"
MD,county,Allegany,008-000-1,Westernport Elementary School,"172 Church Street, Westernport, MD 21562"
MD,county,Allegany,008-000-2,Westernport Elementary School,"172 Church Street, Westernport, MD 21562"
MD,county,Allegany,008-000-3,Westernport Elementary School,"172 Church Street, Westernport, MD 21562"
MD,county,Allegany,009-000-1,Barton Council Chamber,"19018 Legislative Road, SW, Barton, MD 21521"
MD,county,Allegany,009-000-2,Barton Council Chamber,"19018 Legislative Road, SW, Barton, MD 21521"
