county_name,precinct_name,name,address
Adams,Juniata Fire Hall 02 Verona,Juniata Fire Hall 02 Verona,"1202 N Juniata Ave, Juniata, NE 68955"
Adams,Juniata Fire Hall 04 Juniata,Juniata Fire Hall 04 Juniata,"1202 N Juniata Ave, Juniata, NE 68955"
Adams,Kenesaw Senior Center,Kenesaw Senior Center,"110 W Maple Ave, Kenesaw, NE 68956"
Adams,Lincoln Park Fire Stat.-1145 S Hastings 11 1-A,Lincoln Park Fire Stat.-1145 S Hastings 11 1-A,"1145 S Hastings Ave, Hastings, NE 68901"
Adams,Peace Lutheran - 906 N California 24 4-A,Peace Lutheran - 906 N California 24 4-A,"906 N California Ave, Hastings, NE 68901"
Adams,Roseland Town Hall 09 Roseland,Roseland Town Hall 09 Roseland,"PO Box 170, Roseland, NE 68973"
Adams,Senior Center - Gsv 13 1-C,Senior Center - Gsv 13 1-C,"926 East E St, Hastings, NE 68901"
Antelope,American Legion Club Post 172,American Legion Club Post 172,"115 W 3rd St, Joyce Cameron, Neligh, NE 68756"
Antelope,American Legion Post 267,American Legion Post 267,"507 Main St, PO Box 104, Clearwater, NE 68726"
Antelope,Brunswick Community Room,Brunswick Community Room,"203 Franklin Street, Ashlee Masat, Brunswick, NE 68720"
Antelope,Elgin KC Hall,Elgin KC Hall,"115 S. 2nd St., Elgin, NE 68636"
Antelope,Oakdale Community Center,Oakdale Community Center,"308 5th St, Oakdale, NE 68761"
Antelope,Orchard Fire Hall,Orchard Fire Hall,"204 Windom St, Brenda Harrison, Orchard, NE 68764"
Antelope,Royal Auditorium,Royal Auditorium,"401 Fremont St, Diane Ober          Chelle McElhaney  402-929-0267, Royal, NE 68773"
Antelope,Tilden Public Library,Tilden Public Library,"202 S Center St, PO Box 457, Tilden, NE 68781"
Arthur,Arthur County Courthouse,Arthur County Courthouse,"205 Fir Street, Arthur, NE 69121"
Banner,Banner County Courthouse,Banner County Courthouse,"204 State Street, Harrisburg, NE 69345"
Blaine,Brewster,Brewster,"Blaine County Courthouse, 145 Lincoln Avenue, Brewster, NE 68821"
Boone,Casey's Building @ Fairgrounds,Casey's Building @ Fairgrounds,"100 W Fairview St, Albion, NE 68620"
Boone,Direct Mail to Beaver,Direct Mail to Beaver,", NE nan"
Boone,Direct Mail to Boone,Direct Mail to Boone,", NE nan"
Boone,Direct Mail to Cedar,Direct Mail to Cedar,", NE nan"
Boone,Direct Mail to Dublin-Bonanza,Direct Mail to Dublin-Bonanza,", NE nan"
Boone,Direct Mail to North Branch-Shell Creek,Direct Mail to North Branch-Shell Creek,", NE nan"
Boone,Direct Mail to Oakland,Direct Mail to Oakland,", NE nan"
Boxbutte,Box Butte County Courthouse,Box Butte County Courthouse,"515 Box Butte, Alliance, NE 69301"
Boxbutte,Burkeholder Building,Burkeholder Building,"616 Black Hills, Alliance, NE 69301"
Boxbutte,St. Bridgets Parsh Hall,St. Bridgets Parsh Hall,"812 Ogallala, Hemingford, NE 69348"
Boyd,Butte Community Center,Butte Community Center,"505 Thayer St., Butte, NE 68722"
Boyd,Lynch Town Hall,Lynch Town Hall,"401 S Fifth Street, Lynch, NE 68746"
Boyd,Spencer Fire Hall,Spencer Fire Hall,"100 E Main St, Spencer, NE 68777"
Brown,Ainsworth Conference Center,Ainsworth Conference Center,"606 E 4th St., Ainsworth, NE 69210"
Buffalo,01 First Church of God,01 First Church of God,"4310 17th Ave, Kearney, NE 68845"
Buffalo,02 First Presbyterian Church,02 First Presbyterian Church,"4511 6th Ave, Kearney, NE 68845"
Buffalo,03 First United Methodist Church,03 First United Methodist Church,"4500 Linden Dr, Kearney, NE 68847"
Buffalo,04 Good Shepherd Lutheran Church,04 Good Shepherd Lutheran Church,"1208 E 47th St, Kearney, NE 68847"
Buffalo,05 Exhibit Hall in Extension Bldg,05 Exhibit Hall in Extension Bldg,"North door on West side, 1400 E 34th St, Kearney, NE 68847"
Buffalo,06 Holy Cross Lutheran Church,06 Holy Cross Lutheran Church,"3315 11th  Ave, Kearney, NE 68845"
Buffalo,07 Activity Center/Harmon Park,07 Activity Center/Harmon Park,"3100 5th Ave, Kearney, NE 68845"
Buffalo,08 St. James Catholic Church,08 St. James Catholic Church,"3801 Ave A, Kearney, NE 68847"
Buffalo,09 First Lutheran Church,09 First Lutheran Church,"3315 Ave G, Kearney, NE 68847"
Buffalo,10 Exhibit Hall in Extension Bldg,10 Exhibit Hall in Extension Bldg,"North door on West side, 1400 E 34th St, Kearney, NE 68847"
Buffalo,11 Meadowlark Manor,11 Meadowlark Manor,"2110 30th Ave, Kearney, NE 68845"
Buffalo,12 Activity Center @ Harmon Park,12 Activity Center @ Harmon Park,"3100 5th Ave, Kearney, NE 68845"
Buffalo,13 Peterson Senior Activities Center,13 Peterson Senior Activities Center,"Yanney Heritage Park, 2020 W 11th St, Kearney, NE 68845"
Buffalo,14 American Legion/Bingo Hall,14 American Legion/Bingo Hall,"1223 Central Ave, Kearney, NE 68847"
Buffalo,15 Miller Community Hall,15 Miller Community Hall,"322 W Omaha Ave, Miller, NE 68858"
Buffalo,16 Pleasanton Community Center,16 Pleasanton Community Center,"202 N Sycamore, Pleasanton, NE 68866"
Buffalo,17 Ravenna City Auditorium-Rural,17 Ravenna City Auditorium-Rural,"301 Alba, Ravenna, NE 68869"
Buffalo,18 Ravenna City Auditorium-Rav City,18 Ravenna City Auditorium-Rav City,"301 Alba Ave, Ravenna, NE 68869"
Buffalo,19 Amherst Community Center,19 Amherst Community Center,"110 N Main St, Amherst, NE 68812"
Buffalo,20 Prince of Peace Catholic Church,20 Prince of Peace Catholic Church,"Use East door, 2407 W 56th St, Kearney, NE 68845"
Buffalo,21 Colony Acres Comm. Rm,21 Colony Acres Comm. Rm,"413 1st St, Gibbon, NE 68840"
Buffalo,22 Gib. Faith United Church-Ward I,22 Gib. Faith United Church-Ward I,"203 Garfield St, Gibbon, NE 68840"
Buffalo,23 Gib. Faith United Church-Ward II,23 Gib. Faith United Church-Ward II,"203 Garfield St, Gibbon, NE 68840"
Buffalo,24 Shelton Municipal Building,24 Shelton Municipal Building,"219 C St, Shelton, NE 68876"
Buffalo,25 Elm Creek Village Center,25 Elm Creek Village Center,"535 W Boyd Ave, Elm Creek, NE 68836"
Buffalo,26 Spirit of Life Church,26 Spirit of Life Church,"3148 Dove Hill Ave, Kearney, NE 68845"
Buffalo,27 Cornerstone Berean Church,27 Cornerstone Berean Church,"1004 30th Ave, Kearney, NE 68845"
Buffalo,28 Riverdale Comm. Center,28 Riverdale Comm. Center,"221 3rd Ave, Riverdale, NE 68870"
Buffalo,29  Ace Irrigation Mfg Co.,29  Ace Irrigation Mfg Co.,"4740 E 39h St, Kearney, NE 68847"
Burt,Craig Fire Hall,Craig Fire Hall,"333 S Main St., Craig, NE 68019"
Burt,Decatur Fire Hall,Decatur Fire Hall,"1012 S. Broadway St, Decatur, NE 68020"
Burt,Lyons City Hall,Lyons City Hall,"335 Main St, Lyons, NE 68038"
Burt,Oakland City Hall,Oakland City Hall,"401 N Oakland Ave, Oakland, NE 68045"
Burt,Tekamah City Hall,Tekamah City Hall,"1315 K St., Tekamah, NE 68061"
Butler,American Legion Hall,American Legion Hall,"203 N Madison, Brainard, NE 68626"
Butler,Assumption Parish Hall,Assumption Parish Hall,"291 N 3rd Street, Dwight, NE 68635"
Butler,Bruno Civic Center,Bruno Civic Center,"96 Elm St., Bruno, NE 68014"
Butler,David City Auditorium,David City Auditorium,"699 Kansas Street, David City, NE 68632"
Butler,Hruska Memorial Public Library,Hruska Memorial Public Library,"399 N 5th Street, David City, NE 68632"
Butler,Rising City Fire Hall,Rising City Fire Hall,"Highway 92, Rising City, NE 68658"
Butler,St. Peter's Parish Hall,St. Peter's Parish Hall,"211 Esplanade, Bellwood, NE 68624"
Butler,Ulysses Community Hall,Ulysses Community Hall,"300 C Street, Ulysses, NE 68669"
Cass,001 Tipton,001 Tipton,"Eagle Elementary Waverly Dist. 145, 600 S 1st St, Eagle, NE 68347"
Cass,002 McKelverly,002 McKelverly,"Alvo Fire Department, 135 Main Street, Po Box 48, Eagle, NE 68347"
Cass,003 Salt Creek,003 Salt Creek,"Greenwood Community Building, 619 Main Street, PO Box 190, Greenwood, NE 68366"
Cass,004 Stove Creek,004 Stove Creek,"Elmwood Fire Station C/O Ed Blunt, 601 N. 4th, P O Box 135, Elmwood, NE 68349"
Cass,005 Murdock,005 Murdock,"Murdock Fire Hall, 201 Atlantic St, Murdock, NE 68407"
Cass,006 South Bend,006 South Bend,"Round The Bend Steakhouse, 30801 E Park Hwy,, Ashland, NE 68003"
Cass,007 Buccaneer Bay,007 Buccaneer Bay,"Bay Hills Golf Club, 3200 Buccaneer Blvd, Plattsmouth, NE 68048"
Cass,008 Center,008 Center,"Cass County Extension Office, 8400 144th Street Ste 100, Cass County Fairgrounds (144th & Hwy 1), Weeping Water, NE 68463"
Cass,009 East Louisville,009 East Louisville,"Louisville Senior Citizen Ctr., 423 Elm St, Louisville, PO box 370, Louisville, NE 68037"
Cass,010 West Louisville,010 West Louisville,"Louisville Fire Station Hall, 122 Main St, PO Box 370, Louisville, NE 68037"
Cass,011 Avoca,011 Avoca,"Avoca Town Hall, 623 House Street, PO Box 699, Avoca, NE 68307"
Cass,012 Mount Pleasant,012 Mount Pleasant,"Cass County Extension Office, 8400 144th St, Ste 100, Weeping Water, NE 68463"
Cass,013 Eight Mile Grove,013 Eight Mile Grove,"Christ Lutheran Church, 15616 S 84th St, Louisville, NE 68037"
Cass,014 Nehawka,014 Nehawka,"Nehawka Community Bldg (Town Hall), 217 Sherman Avenue, PO Box 134, Nehawka, NE 68413"
Cass,015 Liberty,015 Liberty,"American Legion Hall, 104 Main Street, Union, NE 68455"
Cass,016 North Rock Bluff,016 North Rock Bluff,"Beaver Lake Clubhouse, 9410 Clubhouse Cir, Plattsmouth, NE 68048"
Cass,017 South Rock Bluff,017 South Rock Bluff,"Beaver Lake Clubhouse, 9410 Clubhouse Cir, Plattsmouth, NE 68048"
Cass,018 West Rock Bluff,018 West Rock Bluff,"Murray Town Hall, 106 W Main St, PO Box 79, Murray, NE 68409"
Cass,019 North Plattsmouth,019 North Plattsmouth,"Plattsmouth Community Center-Gym, 308 S 18th St, Plattsmouth, NE 68048"
Cass,020 South Plattsmouth,020 South Plattsmouth,"Woodhouse Ford South, 2288 Osage Ranch Blvd, Plattsmouth, NE 68048"
Cass,021 Weeping Water-1st Ward,021 Weeping Water-1st Ward,"Weeping Water City Hall, 101 W Eldora Ave, PO Box 329, Weeping Water, NE 68463"
Cass,022 Weeping Water-2nd Ward,022 Weeping Water-2nd Ward,"Weeping Water City Hall, 101 W. Eldora Ave, PO Box 329, Weeping Water, NE 68463"
Cass,023 1st Ward 1st Pct,023 1st Ward 1st Pct,"Plattsmouth Library, 401 Avenue A, Plattsmouth, NE 68048"
Cass,024 1st Ward 2nd Pct,024 1st Ward 2nd Pct,"Plattsmouth Fitness Center-Gym, 308 S 18 St, Plattsmouth, NE 68048"
Cass,025 2nd Ward 1st Pct,025 2nd Ward 1st Pct,"1st United Methodist Church, 702 Main St., Plattsmouth, NE 68048"
Cass,026 2nd Ward 2nd Pct,026 2nd Ward 2nd Pct,"Church Of The Holy Spirit, 520 S. 18th St., Plattsmouth, NE 68048"
Cass,027 3rd Ward 1st Pct,027 3rd Ward 1st Pct,"Living Water Church, 1623 S. 15th St., PO Box 117, Plattsmouth, NE 68048"
Cass,028 3rd Ward 2nd Pct,028 3rd Ward 2nd Pct,"The Waterford at Woodbridge, 1913 Old Hwy 34, Plattsmouth, NE 68048"
Cass,029 4th Ward 1st Pct,029 4th Ward 1st Pct,"Plattsmouth High School Admin Bldg, 1912 Old Hwy 34, Plattsmouth, NE 68048"
Cass,030 4th Ward 2nd Pct,030 4th Ward 2nd Pct,"Presbyterian Church, 701 Chicago Ave, Plattsmouth, NE 68048"
Cedar,All Mail Precinct,All Mail Precinct,"Ballots will automatically be mailed to you., NE nan"
Cedar,Coleridge Community Building,Coleridge Community Building,"111 S. Main, Coleridge, NE 68727"
Cedar,Hartington Vfw Club,Hartington Vfw Club,"126 E. Main, Hartington, NE 68739"
Cedar,Laurel City Auditorium,Laurel City Auditorium,"101 W. 2nd St., Laurel, NE 68745"
Cedar,Randolph City Auditorium,Randolph City Auditorium,"119 N. Main, Randolph, NE 68771"
Cedar,Wynot Fire Hall,Wynot Fire Hall,"405 E. Jones St., Wynot, NE 68792"
Chase,Champion Community Center,Champion Community Center,"265 Broadway St, Champion, NE 69023"
Chase,Imperial Community Center,Imperial Community Center,"1000 Wellington St, Imperial, NE 69033"
Chase,Imperial Public Library,Imperial Public Library,"703 Broadway St., Imperial, NE 69033"
Chase,United Methodist Church,United Methodist Church,"420 Holland St, Imperial, NE 69033"
Chase,Wauneta Senior Center,Wauneta Senior Center,"231 N Tecumseh Ave, P O Box 187, Wauneta, NE 69045"
Cherry,Direct Mail to Barley,Direct Mail to Barley,", nan nan"
Cherry,Direct Mail to Cleveland,Direct Mail to Cleveland,", nan nan"
Cherry,Direct Mail to Cody,Direct Mail to Cody,", nan nan"
Cherry,Direct Mail to Crookston,Direct Mail to Crookston,", nan nan"
Cherry,Direct Mail to Gillaspie,Direct Mail to Gillaspie,", nan nan"
Cherry,Direct Mail to Goose Creek,Direct Mail to Goose Creek,", nan nan"
Cherry,Direct Mail to Kennedy,Direct Mail to Kennedy,", nan nan"
Cherry,Direct Mail to Kilgore,Direct Mail to Kilgore,", nan nan"
Cherry,Direct Mail to King,Direct Mail to King,", nan nan"
Cherry,Direct Mail to Lackey,Direct Mail to Lackey,", nan nan"
Cherry,Direct Mail to Loup,Direct Mail to Loup,", nan nan"
Cherry,Direct Mail to Merriman,Direct Mail to Merriman,", NE nan"
Cherry,Direct Mail to Mother Lake,Direct Mail to Mother Lake,", nan nan"
Cherry,Direct Mail to Nenzel,Direct Mail to Nenzel,", NE nan"
Cherry,Direct Mail to Russell,Direct Mail to Russell,", nan nan"
Cherry,Direct Mail to Wells,Direct Mail to Wells,", nan nan"
Cherry,Direct Mail to Wood Lake,Direct Mail to Wood Lake,", nan nan"
Cheyenne,Cheyenne County Fairgrounds,Cheyenne County Fairgrounds,"10955 US Highway 30, Sidney, NE 69162"
Cheyenne,Fire Hall Dalton,Fire Hall Dalton,"404 Broad St, Dalton, NE 69131"
Cheyenne,Fire Hall Gurley,Fire Hall Gurley,"738 3rd, Gurley, NE 69141"
Cheyenne,Fire Hall Lodgepole,Fire Hall Lodgepole,"804 Sheldon, Lodgepole, NE 69149"
Cheyenne,Fire Hall Potter,Fire Hall Potter,"900 Front St., Potter, NE 69156"
Clay,"Activity Bldg, Fairgrounds","Activity Bldg, Fairgrounds","701 North Martin, Clay Center, NE 68933"
Clay,Deweese Community Building,Deweese Community Building,"101 E Lena St, Deweese, NE 68934"
Clay,Edgar City Hall,Edgar City Hall,"601 5th St, Edgar, NE 68935"
Clay,Fairfield City Auditorium,Fairfield City Auditorium,"304 D St, Fairfield, NE 68938"
Clay,Glenvil Fire Hall,Glenvil Fire Hall,"201 Winters Ave, Glenvil, NE 68941"
Clay,Harvard Community Room,Harvard Community Room,"128 N Harvard Ave, Harvard, NE 68944"
Clay,Senior Community Center,Senior Community Center,"204 South Saunders, Sutton, NE 68979"
Clay,Trumbull Community Center,Trumbull Community Center,"511 Miles, Trumbull, NE 68980"
Colfax,Clarkson Fire Station,Clarkson Fire Station,"220 Bryan St, Clarkson, NE 68629"
Colfax,Colfax County Courthouse,Colfax County Courthouse,"411 East 11th St, Schuyler, NE 68661"
Colfax,Community Center,Community Center,"128 N. 3rd St., Howells, NE 68641"
Colfax,Fire Station - Schuyler,Fire Station - Schuyler,"302 E16th St, Schuyler, NE 68661"
Colfax,St. Augustine'S Parish Hall,St. Augustine'S Parish Hall,"604 Chicago St, Schuyler, NE 68661"
Cuming,All Mail (sw4) Direct Mail,All Mail (sw4) Direct Mail,", nan nan"
Cuming,Bancroft Fire Hall,Bancroft Fire Hall,"Main St., Bancroft, NE 68004"
Cuming,Beemer Municipal Building,Beemer Municipal Building,"Main St., Beemer, NE 68716"
Cuming,Nielsen Community Center,Nielsen Community Center,"200 Anna Stalp Ave, West Point, NE 68788"
Cuming,Nielsen Community Center(2),Nielsen Community Center(2),", NE nan"
Cuming,Nielsen Community Center(ssgc),Nielsen Community Center(ssgc),", NE nan"
Cuming,Wisner Auditorium,Wisner Auditorium,"1001 Ave D, Wisner, NE 68791"
Custer,Community Building Mason City,Community Building Mason City,"463 Main St, Mason City, NE 68855"
Custer,Community Building Merna,Community Building Merna,"428 E Center Ave, Merna, NE 68856"
Custer,Community Building Oconto,Community Building Oconto,"101 W 6th, Oconto, NE 68860"
Custer,Community Hall Ansley,Community Hall Ansley,"720 Douglas St, Ansley, NE 68814"
Custer,Community Hall Comstock,Community Hall Comstock,"113 W Main, Comstock, NE 68828"
Custer,Legion Hall Arnold,Legion Hall Arnold,"112 N Walnut, Arnold, NE 69120"
Custer,Municipal Building BB,Municipal Building BB,"310 S 10th Ave, Broken Bow, NE 68822"
Custer,Sargent Community Building,Sargent Community Building,"314 W Main St, Sargent, NE 68874"
Custer,Senior Center Callaway,Senior Center Callaway,"105 N Grand Ave, Callaway, NE 68825"
Custer,Veteran's Building BB,Veteran's Building BB,"416 S 1st Ave, Broken Bow, NE 68822"
Custer,Winter Memorial Library,Winter Memorial Library,"201 E Smith, Anselmo, NE 68813"
Dakota,Dakota City Hall,Dakota City Hall,"1511 Broadway, Dakota City, NE 68731"
Dakota,Emerson Fire Hall,Emerson Fire Hall,"209 North Main Street, Emerson, NE 68733"
Dakota,First Lutheran Church,First Lutheran Church,"3601 Dakota Avenue, S Sioux City, NE 68776"
Dakota,Homer Legion Hall,Homer Legion Hall,"22 John Street, Homer, NE 68030"
Dakota,Hubbard Community Center,Hubbard Community Center,"310 Nebraska Street, Hubbard, NE 68741"
Dakota,Jackson Legion Hall,Jackson Legion Hall,"103 Elk Street, Jackson, NE 68743"
Dakota,Knights Of Columbus Hall,Knights Of Columbus Hall,"Old Highway 20 West, S Sioux City, NE 68776"
Dakota,River Hills Assembly of God Church,River Hills Assembly of God Church,"1101 5th Avenue, S Sioux City, NE 68776"
Dakota,Salem Luthern Church,Salem Luthern Church,"1753 G Avenue, At the Intersection of Hwy 110 & 35, Dakota City, NE 68731"
Dakota,South Sioux City Legion Hall,South Sioux City Legion Hall,"109 E. 19th Street, S Sioux City, NE 68776"
Dakota,South Sioux City Memorial Hall,South Sioux City Memorial Hall,"(previously the Fire Hall), 201 W 16th Street, S Sioux City, NE 68776"
Dakota,South Sioux City Middle School,South Sioux City Middle School,"3625 G Street, Enter at Apache & G St. Enter South door, S Sioux City, NE 68776"
Dawes,Direct Mail to P01,Direct Mail to P01,", NE nan"
Dawes,Direct Mail to P02,Direct Mail to P02,", NE nan"
Dawes,Direct Mail to P03,Direct Mail to P03,", NE nan"
Dawes,Direct Mail to P04,Direct Mail to P04,", NE nan"
Dawes,Direct Mail to P05,Direct Mail to P05,", NE nan"
Dawes,Direct Mail to P06,Direct Mail to P06,", NE nan"
Dawes,Direct Mail to P07,Direct Mail to P07,", NE nan"
Dawes,Direct Mail to P08,Direct Mail to P08,", NE nan"
Dawes,Direct Mail to P09,Direct Mail to P09,", NE nan"
Dawes,Direct Mail to P10,Direct Mail to P10,", NE nan"
Dawes,Direct Mail to P11,Direct Mail to P11,", NE nan"
Dawson,Coyote 001,Coyote 001,"Saint Ann's Parish Center, 1003 Taft St, Lexington, NE 68850"
Dawson,Cozad East 002,Cozad East 002,"Wilson Public Library, 910 Meridian Ave, Cozad, NE 69130"
Dawson,Cozad West 003,Cozad West 003,"Cozad City Offices, 215 West 8th, Cozad, NE 69130"
Dawson,Fairview 004,Fairview 004,"Chipper Hall, 144 E 8th, Cozad, NE 69130"
Dawson,Farnam 005,Farnam 005,"Community Room/Fire Hall, Farnam, NE 69029"
Dawson,German 006,German 006,"Zion Lutheran Church, 77191 Hwy 47, Gothenburg, NE 69138"
Dawson,Gillan 007,Gillan 007,"Chipper Hall, 144 E 8th, Cozad, NE 69130"
Dawson,Goth East 008,Goth East 008,"American Lutheran Church, 1512 Ave G, Gothenburg, NE 69138"
Dawson,Goth West 009,Goth West 009,"United Methodist Church, 1401 Lake Ave, Gothenburg, NE 69138"
Dawson,Grant 010,Grant 010,"Saint Ann's Parish Center, 1003 Taft St, Lexington, NE 68850"
Dawson,Kennebec 011,Kennebec 011,"Eddyville Community Center, Eddyville, NE 68834"
Dawson,Lex 1st 012,Lex 1st 012,"Grand Generation Center, Meeting Room, 407 E 6th, Lexington, NE 68850"
Dawson,Lex 2nd 013,Lex 2nd 013,"Grace Lutheran Church, 105 E 17th, Lexington, NE 68850"
Dawson,Lex 3rd 014,Lex 3rd 014,"Parkview Baptist Church, 803 W 18th St, Lexington, NE 68850"
Dawson,Lex 4th 015,Lex 4th 015,"City Library, 907 N Washington, Lexington, NE 68850"
Dawson,Lex 5th 016,Lex 5th 016,"Evangelical Free Church, 810 S Washington, Lexington, NE 68850"
Dawson,Overton 017,Overton 017,"Overton Family Center, Overton Ballfield Area, Overton, NE 68863"
Dawson,Platte 018,Platte 018,"Johnson Lake EMS Building, 42734 Johnson Lake Dr, Johnson Lake, NE 68937"
Dawson,Ringgold 019,Ringgold 019,"Chipper Hall, 144 E 8th, Cozad, NE 69130"
Dawson,Woodriver 021,Woodriver 021,"Community Building, Sumner, NE 68878"
Deuel,Big Springs Fire Hall,Big Springs Fire Hall,"Big Springs Fire Hall, 3rd And Pine, Big Springs, NE 69122"
Deuel,Chappell Fire Hall,Chappell Fire Hall,"Chappell Fire Hall, 1650 2nd Street, Chappell, NE 69129"
Deuel,Chappell Swan Fire Hall,Chappell Swan Fire Hall,"Chappell Fire Hall, 1650 2nd Street, Chappell, NE 69129"
Dixon,All Mail,All Mail,"Ballots will automatically be mailed to you., NE nan"
Dixon,Allen Firehall,Allen Firehall,"201 South Harrison Street, Allen, NE 68710"
Dixon,Dixon Community Center,Dixon Community Center,"210 2nd Street, Dixon, NE 68732"
Dixon,Ponca Community Center,Ponca Community Center,"119 West 3rd Street, Ponca, NE 68770"
Dixon,St. Paul's Lutheran Church Social Hall,St. Paul's Lutheran Church Social Hall,"103 W 3rd Street, Emerson, NE 68733"
Dixon,Wakefield American Legion Hall,Wakefield American Legion Hall,"211 Main Street, Wakefield, NE 68784"
Dodge,City of Hooper 029,City of Hooper 029,"Hooper Public Library, 126 N Main Street, Hooper, NE 68031"
Dodge,City Of North Bend 021,City Of North Bend 021,"VFW Club, 742 Main St, North Bend, NE 68649"
Dodge,City Of Scribner 022,City Of Scribner 022,"Mohr Auditorium, 650 Co Rd 13 Blvd, Scribner, NE 68057"
Dodge,Cuming/Everett Twps 023,Cuming/Everett Twps 023,"Mohr Auditorium, 650 Co Rd 13 Blvd, Scribner, NE 68057"
Dodge,Elkhorn Township 031,Elkhorn Township 031,"Trinity Lutheran School, 1546 N Luther Rd, Fremont, NE 68025"
Dodge,Everett Township 029,Everett Township 029,"Mohr Auditorium, 650 Co Rd 13 Blvd, Scribner, NE 68057"
Dodge,Fremont 1A 001,Fremont 1A 001,"Evangelical Free Church, 2050 N Lincoln Ave, Fremont, NE 68025"
Dodge,Fremont 1B 002,Fremont 1B 002,"Event Center Lobby, 700 E 10th St, Fremont, NE 68025"
Dodge,Fremont 1C 003,Fremont 1C 003,"Trinity Lutheran School, 1546 N Luther RD, Fremont, NE 68025"
Dodge,Fremont 1D 004,Fremont 1D 004,"Gifford Tower, 2510 N Clarkson St., Fremont, NE 68025"
Dodge,Fremont 1E 005,Fremont 1E 005,"St. Patrick's Catholic Church, 3400 E 16th Street, Fremont, NE 68025"
Dodge,Fremont 2A 006,Fremont 2A 006,"First Congregational Church, 1550 N Broad Street, Fremont, NE 68025"
Dodge,Fremont 2B 007,Fremont 2B 007,"Stone Bridge Christian Church, 1041 N Nye Ave, Fremont, NE 68025"
Dodge,Fremont 2C 008,Fremont 2C 008,"Extension Service, 1206 West 23rd St, Fremont, NE 68025"
Dodge,Fremont 2D 009,Fremont 2D 009,"Premier Estates, 2550 N Nye Ave, Fremont, NE 68025"
Dodge,Fremont 2E 010,Fremont 2E 010,"Nye Square, 650 W 21st St, Fremont, NE 68025"
Dodge,Fremont 3A 011,Fremont 3A 011,"City Auditorium, 929 N Broad St68025, Fremont, NE nan"
Dodge,Fremont 3B 012,Fremont 3B 012,"Courthouse, 435 N Park Ave, Fremont, NE 68025"
Dodge,Fremont 3C 013,Fremont 3C 013,"Brady's Meats & Foods, 450 S Broad Street, Fremont, NE 68025"
Dodge,Fremont 3D 014,Fremont 3D 014,"Christensen Field Community Rm, 1730 W 16th Street, Fremont, NE 68025"
Dodge,Fremont 3E 015,Fremont 3E 015,"Salem Lutheran Church, 401 E Military Ave, Fremont, NE 68025"
