state,jurisdiction_type,county_name,municipality,precinct_id,name,address
WV,county,Barbour,,1,JUNIOR ELEMENTARY SCHOOL,
WV,county,Barbour,,2,BELINGTON FIRE DEPARTMENT,
WV,county,Barbour,,3,BELINGTON ELEMENTARY SCHOOL,
WV,county,Barbour,,4,BARBOUR COUNTY FAIRGROUNDS,
WV,county,Barbour,PHILIPPI,5,PHILIP BARBOUR HIGH SCHOOL,"US ROUTE250, PHILIPPI, WV 26416"
WV,county,Barbour,,6,UNION COMMUNITY BUILDING,
WV,county,Barbour,,7,BARBOUR COUNTY COURTHOUSE,
WV,county,Barbour,,8,TACY COMMUNITY BUILDING,
WV,county,Barbour,,9,ARDEN CLEMTOWN AREA COMMUNITY CENTER,
WV,county,Barbour,,10,KASSON MIDDLE SCHOOL,
WV,county,Barbour,,11,THORNHILLS FLORIST,
WV,county,Barbour,,12,VOLGA SCHOOL,
WV,county,Barbour,,13,PHILIPPI ELEMENTARY SCHOOL,
WV,county,Barbour,,14,BRUSHY FORK COMMUNITY BLDG,
WV,county,Barbour,PHILIPPI,15,A-B COLLEGE AUXILIARY GYM,"COLLEGE HILL ROAD, PHILIPPI, WV 26416"
WV,county,Barbour,,16,MT VERNON ELEMENTARY SCHOOL,
WV,county,Berkeley,MARTINSBURG,1,SAINT LUKE'S UNITED METHODIST,"700 NEW YORK AVENUE, MARTINSBURG, WV 25401"
WV,county,Berkeley,MARTINSBURG,2,ORCHARD VIEW INTERMEDIATE,"1455 DELMAR ORCHARD ROAD, MARTINSBURG, WV 25403"
WV,county,Berkeley,MARTINSBURG,5,MARTINSBURG HIGH SCHOOL,"701 S QUEEN STREET, MARTINSBURG, WV 25401"
WV,county,Berkeley,MARTINSBURG,6,SOUTH MIDDLE SCHOOL,"150 BULLDOG BLVD, MARTINSBURG, WV 25401"
WV,county,Berkeley,MARTINSBURG,7,BURKE STREET SCHOOL,"422 W BURKE STREET, MARTINSBURG, WV 25401"
WV,county,Berkeley,MARTINSBURG,8,RAMER SCHOOL,"515 WEST MARTIN STREET, MARTINSBURG, WV 25401"
WV,county,Berkeley,MARTINSBURG,9,AMBROSE TOWERS,"703 PORTER AVENUE, MARTINSBURG, WV 25401"
WV,county,Berkeley,MARTINSBURG,10,TUSCARORA ELEMENTARY  SCHOOL,"2000 TAVERN ROAD, MARTINSBURG, WV 25401"
WV,county,Berkeley,MARTINSBURG,11,ROSEMONT ELEMENTARY SCHOOL,"301 SOUTH ALABAMA AVENUE, MARTINSBURG, WV 25401"
WV,county,Berkeley,MARTINSBURG,12,BEDINGTON FIRE STATION (MAIN),"775 BEDINGTON ROAD, MARTINSBURG, WV 25404"
WV,county,Berkeley,MARTINSBURG,13,FAITH CHRISTIAN ACADEMY,"138 GREENSBURG ROAD, MARTINSBURG, WV 25404"
WV,county,Berkeley,MARTINSBURG,14,BERKELEY SENIOR CENTER,"217 N HIGH STREET, MARTINSBURG, WV 25404"
WV,county,Berkeley,MARTINSBURG,15,OPEQUON ELEMENTARY SCHOOL,"395 EAST ROAD, MARTINSBURG, WV 25404"
