state,jurisdiction_type,county_name,municipality,precinct_id,name,address
WV,county,BARBOUR,,1,JUNIOR ELEMENTARY SCHOOL,
WV,county,BARBOUR,,2,BELINGTON FIRE DEPARTMENT,
WV,county,BARBOUR,,3,BELINGTON ELEMENTARY SCHOOL,
WV,county,BARBOUR,,4,BARBOUR COUNTY FAIRGROUNDS,
WV,county,BARBOUR,PHILIPPI,5,PHILIP BARBOUR HIGH SCHOOL,"US ROUTE250, PHILIPPI, WV 26416"
WV,county,BARBOUR,,6,UNION COMMUNITY BUILDING,
WV,county,BARBOUR,,7,BARBOUR COUNTY COURTHOUSE,
WV,county,BARBOUR,,8,TACY COMMUNITY BUILDING,
WV,county,BARBOUR,,9,ARDEN CLEMTOWN AREA COMMUNITY CENTER,
WV,county,BARBOUR,,10,KASSON MIDDLE SCHOOL,
WV,county,BARBOUR,,11,PHILIPPI MIDDLE SCHOOL,"MANSFIELD, WV"
WV,county,BARBOUR,,12,VOLGA SCHOOL,
WV,county,BARBOUR,,13,PHILIPPI ELEMENTARY SCHOOL,
WV,county,BARBOUR,,14,BRUSHY FORK COMMUNITY BLDG,
WV,county,BARBOUR,PHILIPPI,15,PHILIPPI ELEMENTARY SCHOOL,"COLLEGE HILL ROAD, PHILIPPI, WV 26416"
WV,county,BARBOUR,,16,MT VERNON ELEMENTARY SCHOOL,
WV,county,BERKELEY,MARTINSBURG,1,SAINT LUKE'S UNITED METHODIST,"700 NEW YORK AVENUE, MARTINSBURG, WV 25401"
WV,county,BERKELEY,MARTINSBURG,2,ORCHARD VIEW INTERMEDIATE,"1455 DELMAR ORCHARD ROAD, MARTINSBURG, WV 25403"
WV,county,BERKELEY,MARTINSBURG,5,MARTINSBURG HIGH SCHOOL,"701 S QUEEN STREET, MARTINSBURG, WV 25401"
WV,county,BERKELEY,MARTINSBURG,6,SOUTH MIDDLE SCHOOL,"150 BULLDOG BLVD, MARTINSBURG, WV 25401"
WV,county,BERKELEY,MARTINSBURG,7,BURKE STREET SCHOOL,"422 W BURKE STREET, MARTINSBURG, WV 25401"
WV,county,BERKELEY,MARTINSBURG,8,ROSEMONT GRACE BRETHREN CHURCH,"117 S. ILLINOIS AVE, MARTINSBURG, WV 25401"
WV,county,BERKELEY,MARTINSBURG,9,AMBROSE TOWERS,"703 PORTER AVENUE, MARTINSBURG, WV 25401"
WV,county,BERKELEY,MARTINSBURG,10,TUSCARORA ELEMENTARY  SCHOOL,"2000 TAVERN ROAD, MARTINSBURG, WV 25401"
WV,county,BERKELEY,MARTINSBURG,11,ROSEMONT ELEMENTARY SCHOOL,"301 SOUTH ALABAMA AVENUE, MARTINSBURG, WV 25401"
WV,county,BERKELEY,MARTINSBURG,12,BEDINGTON FIRE STATION (MAIN),"775 BEDINGTON ROAD, MARTINSBURG, WV 25404"
WV,county,BERKELEY,MARTINSBURG,13,FAITH CHRISTIAN ACADEMY,"138 GREENSBURG ROAD, MARTINSBURG, WV 25404"
